
TimeGenerated,UserPrincipalName,AccountName,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,Action,Computer,CorrelationId
2026-02-01 08:50:00,user1@contoso.com,user1,203.0.113.10,172.16.0.1,62756,445,UDP,Deny,HOST01,session_01
2026-02-01 08:52:00,user1@contoso.com,user1,203.0.113.10,172.16.0.2,53363,80,UDP,Deny,HOST01,session_01
2026-02-01 08:54:00,user1@contoso.com,user1,203.0.113.10,172.16.0.3,43421,445,TCP,Deny,HOST01,session_01
2026-02-01 08:56:00,user1@contoso.com,user1,203.0.113.10,172.16.0.4,20700,3389,UDP,Allow,HOST01,session_01
2026-02-01 08:58:00,user1@contoso.com,user1,203.0.113.10,172.16.0.5,44532,3389,UDP,Deny,HOST01,session_01
2026-02-01 09:00:00,user1@contoso.com,user1,203.0.113.10,172.16.0.6,2554,3389,TCP,Deny,HOST01,session_01
2026-02-01 09:02:00,user1@contoso.com,user1,203.0.113.10,172.16.0.7,40785,3389,UDP,Allow,HOST01,session_01
2026-02-01 09:04:00,user1@contoso.com,user1,203.0.113.10,172.16.0.8,42361,443,TCP,Allow,HOST01,session_01
2026-02-01 09:06:00,user1@contoso.com,user1,203.0.113.10,172.16.0.9,53062,80,TCP,Deny,HOST01,session_01
2026-02-01 09:08:00,user1@contoso.com,user1,203.0.113.10,172.16.0.10,6567,80,TCP,Deny,HOST01,session_01
2026-02-01 09:10:00,user1@contoso.com,user1,203.0.113.10,172.16.0.11,18416,443,UDP,Deny,HOST01,session_01
2026-02-01 09:12:00,user1@contoso.com,user1,203.0.113.10,172.16.0.12,30709,80,TCP,Allow,HOST01,session_01
2026-02-01 09:14:00,user1@contoso.com,user1,203.0.113.10,172.16.0.13,7920,443,TCP,Allow,HOST01,session_01
2026-02-01 09:16:00,user1@contoso.com,user1,203.0.113.10,172.16.0.14,15942,443,UDP,Deny,HOST01,session_01
2026-02-01 09:18:00,user1@contoso.com,user1,203.0.113.10,172.16.0.15,25751,80,TCP,Allow,HOST01,session_01
2026-02-01 09:20:00,user1@contoso.com,user1,203.0.113.10,172.16.0.16,56659,80,UDP,Deny,HOST01,session_01
2026-02-01 09:22:00,user1@contoso.com,user1,203.0.113.10,172.16.0.17,42646,22,UDP,Allow,HOST01,session_01
2026-02-01 09:24:00,user1@contoso.com,user1,203.0.113.10,172.16.0.18,11551,3389,UDP,Deny,HOST01,session_01
2026-02-01 09:26:00,user1@contoso.com,user1,203.0.113.10,172.16.0.19,26045,443,TCP,Allow,HOST01,session_01
2026-02-01 09:28:00,user1@contoso.com,user1,203.0.113.10,172.16.0.20,55938,80,TCP,Deny,HOST01,session_01
2026-02-02 08:50:00,user2@contoso.com,user2,203.0.113.11,172.16.0.1,18319,3389,UDP,Allow,HOST02,session_02
2026-02-02 08:52:00,user2@contoso.com,user2,203.0.113.11,172.16.0.2,25066,443,UDP,Allow,HOST02,session_02
2026-02-02 08:54:00,user2@contoso.com,user2,203.0.113.11,172.16.0.3,37169,3389,UDP,Deny,HOST02,session_02
2026-02-02 08:56:00,user2@contoso.com,user2,203.0.113.11,172.16.0.4,19263,22,TCP,Deny,HOST02,session_02
2026-02-02 08:58:00,user2@contoso.com,user2,203.0.113.11,172.16.0.5,48228,22,TCP,Deny,HOST02,session_02
2026-02-02 09:00:00,user2@contoso.com,user2,203.0.113.11,172.16.0.6,37416,3389,TCP,Deny,HOST02,session_02
2026-02-02 09:02:00,user2@contoso.com,user2,203.0.113.11,172.16.0.7,27129,3389,UDP,Deny,HOST02,session_02
2026-02-02 09:04:00,user2@contoso.com,user2,203.0.113.11,172.16.0.8,26948,443,UDP,Deny,HOST02,session_02
2026-02-02 09:06:00,user2@contoso.com,user2,203.0.113.11,172.16.0.9,59557,443,UDP,Deny,HOST02,session_02
2026-02-02 09:08:00,user2@contoso.com,user2,203.0.113.11,172.16.0.10,7285,80,UDP,Allow,HOST02,session_02
