TimeGenerated,AuditId,Stage,Level,Verb,RequestUri,User,SourceIps,ObjectRef,ResponseStatus,UserAgent,PodName,SourceSystem,_ResourceId
2026-06-10T10:54:03Z,3f9a1c20-0001-4a11-9001-aaaa00000001,ResponseComplete,Metadata,get,/api/v1/namespaces/kube-system/configmaps/cluster-autoscaler-status,"{""username"":""system:serviceaccount:kube-system:cluster-autoscaler"",""uid"":""b21c0e44-1111-2222-3333-444400000001"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:kube-system"",""system:authenticated""]}","[""10.224.0.4""]","{""resource"":""configmaps"",""namespace"":""kube-system"",""name"":""cluster-autoscaler-status"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",cluster-autoscaler/v1.30.0 (linux/amd64),cluster-autoscaler-7d9c8f5b6-4mn2k,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T10:55:11Z,3f9a1c20-0002-4a11-9002-aaaa00000002,ResponseComplete,Metadata,list,/api/v1/pods?limit=500&resourceVersion=0,"{""username"":""system:serviceaccount:kube-system:kube-controller-manager"",""uid"":""b21c0e44-1111-2222-3333-444400000002"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:kube-system"",""system:authenticated""]}","[""10.224.0.4""]","{""resource"":""pods"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kube-controller-manager/v1.30.0 (linux/amd64) kubernetes/9d8e3f1,kube-controller-manager-aks-prod-01,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T10:56:48Z,3f9a1c20-0003-4a11-9003-aaaa00000003,ResponseComplete,Metadata,get,/api/v1/namespaces/finance/pods/finance-api-6c8d7f9b4-q2x8m,"{""username"":""system:node:aks-nodepool1-32114402-vmss000001"",""groups"":[""system:nodes"",""system:authenticated""]}","[""10.224.0.5""]","{""resource"":""pods"",""namespace"":""finance"",""name"":""finance-api-6c8d7f9b4-q2x8m"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubelet/v1.30.0 (linux/amd64) kubernetes/9d8e3f1,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T10:58:20Z,3f9a1c20-0004-4a11-9004-aaaa00000004,ResponseComplete,Metadata,get,/apis/apps/v1/namespaces/finance/deployments/finance-api,"{""username"":""system:serviceaccount:kube-system:deployment-controller"",""uid"":""b21c0e44-1111-2222-3333-444400000003"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:kube-system"",""system:authenticated""]}","[""10.224.0.4""]","{""resource"":""deployments"",""namespace"":""finance"",""name"":""finance-api"",""apiGroup"":""apps"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kube-controller-manager/v1.30.0 (linux/amd64) kubernetes/9d8e3f1,kube-controller-manager-aks-prod-01,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T10:59:34Z,3f9a1c20-0005-4a11-9005-aaaa00000005,ResponseComplete,Metadata,list,/apis/discovery.k8s.io/v1/namespaces/finance/endpointslices,"{""username"":""system:serviceaccount:kube-system:endpointslice-controller"",""uid"":""b21c0e44-1111-2222-3333-444400000004"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:kube-system"",""system:authenticated""]}","[""10.224.0.4""]","{""resource"":""endpointslices"",""namespace"":""finance"",""apiGroup"":""discovery.k8s.io"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kube-controller-manager/v1.30.0 (linux/amd64) kubernetes/9d8e3f1,kube-controller-manager-aks-prod-01,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T11:00:07Z,7c4b2e80-1001-4f22-8101-bbbb00000011,ResponseComplete,Metadata,get,/api/v1/namespaces/finance,"{""username"":""alexw@contoso.com"",""groups"":[""68f3a1b2-cccc-dddd-eeee-000000000777"",""system:authenticated""],""extra"":{""oid"":[""f47ac10b-58cc-4372-a567-0e02b2c3d479""]}}","[""185.220.101.2""]","{""resource"":""namespaces"",""name"":""finance"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubectl/v1.30.2 (linux/amd64) kubernetes/3f7a4c9,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T11:00:41Z,7c4b2e80-1002-4f22-8102-bbbb00000012,ResponseComplete,Metadata,list,/api/v1/namespaces/finance/secrets,"{""username"":""alexw@contoso.com"",""groups"":[""68f3a1b2-cccc-dddd-eeee-000000000777"",""system:authenticated""],""extra"":{""oid"":[""f47ac10b-58cc-4372-a567-0e02b2c3d479""]}}","[""185.220.101.2""]","{""resource"":""secrets"",""namespace"":""finance"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubectl/v1.30.2 (linux/amd64) kubernetes/3f7a4c9,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T11:01:05Z,7c4b2e80-1003-4f22-8103-bbbb00000013,ResponseComplete,Metadata,get,/api/v1/namespaces/finance/secrets/finance-db-credentials,"{""username"":""alexw@contoso.com"",""groups"":[""68f3a1b2-cccc-dddd-eeee-000000000777"",""system:authenticated""],""extra"":{""oid"":[""f47ac10b-58cc-4372-a567-0e02b2c3d479""]}}","[""185.220.101.2""]","{""resource"":""secrets"",""namespace"":""finance"",""name"":""finance-db-credentials"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubectl/v1.30.2 (linux/amd64) kubernetes/3f7a4c9,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T11:01:38Z,7c4b2e80-1004-4f22-8104-bbbb00000014,ResponseComplete,Metadata,get,/api/v1/namespaces/finance/secrets/finance-api-token-9c2lx,"{""username"":""alexw@contoso.com"",""groups"":[""68f3a1b2-cccc-dddd-eeee-000000000777"",""system:authenticated""],""extra"":{""oid"":[""f47ac10b-58cc-4372-a567-0e02b2c3d479""]}}","[""185.220.101.2""]","{""resource"":""secrets"",""namespace"":""finance"",""name"":""finance-api-token-9c2lx"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubectl/v1.30.2 (linux/amd64) kubernetes/3f7a4c9,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
2026-06-10T11:02:12Z,7c4b2e80-1005-4f22-8105-bbbb00000015,ResponseComplete,Metadata,get,/api/v1/namespaces/finance/serviceaccounts/finance-api,"{""username"":""alexw@contoso.com"",""groups"":[""68f3a1b2-cccc-dddd-eeee-000000000777"",""system:authenticated""],""extra"":{""oid"":[""f47ac10b-58cc-4372-a567-0e02b2c3d479""]}}","[""185.220.101.2""]","{""resource"":""serviceaccounts"",""namespace"":""finance"",""name"":""finance-api"",""apiVersion"":""v1""}","{""metadata"":{},""code"":200}",kubectl/v1.30.2 (linux/amd64) kubernetes/3f7a4c9,,Azure,/subscriptions/11112222-3333-4444-5555-666677778888/resourcegroups/rg-finance-prod/providers/microsoft.containerservice/managedclusters/aks-prod-01
