TimeGenerated,ActivityDateTime,OperationName,ActivityDisplayName,Category,AADOperationType,Result,ResultReason,LoggedByService,InitiatedBy,TargetResources,AdditionalDetails,CorrelationId,Id,AADTenantId
2026-06-10T08:11:30Z,2026-06-10T08:11:29Z,Add user,Add user,UserManagement,Add,success,,Core Directory,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""9b1c2d3e-aaaa-4001-8001-000000000401"",""displayName"":""Contractor Three"",""type"":""User"",""userPrincipalName"":""contractor3@contoso.com"",""modifiedProperties"":[{""displayName"":""AccountEnabled"",""oldValue"":""[]"",""newValue"":""[true]""}]}]","[{""key"":""User type"",""value"":""Member""}]",b7c1d2e3-1101-4a10-9c01-aa0000000101,a1000001-0000-4001-8001-000000000001,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:33:47Z,2026-06-10T08:33:46Z,Add member to group,Add member to group,GroupManagement,Add,success,,Core Directory,"{""user"":{""id"":""3a6b7c88-6666-4f4f-8a8a-aa0000000206"",""displayName"":""Diego Vora"",""userPrincipalName"":""dvora@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""8a2b3c4d-bbbb-4002-8002-000000000402"",""displayName"":""Finance-ReadOnly"",""type"":""Group"",""modifiedProperties"":[{""displayName"":""Group.Member"",""oldValue"":null,""newValue"":""[\""meganb@contoso.com\""]""}]}]","[{""key"":""GroupType"",""value"":""Security""}]",b7c1d2e3-1102-4a10-9c02-aa0000000102,a1000002-0000-4002-8002-000000000002,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T08:49:12Z,2026-06-10T08:49:11Z,Reset user password,Reset user password,UserManagement,Update,success,,Self-service Password Management,"{""user"":{""id"":""5b4e5f66-4444-4d4d-8e8e-aa0000000204"",""displayName"":""Priya Menon"",""userPrincipalName"":""priya.menon@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""5b4e5f66-4444-4d4d-8e8e-aa0000000204"",""displayName"":""Priya Menon"",""type"":""User"",""userPrincipalName"":""priya.menon@contoso.com"",""modifiedProperties"":[]}]","[{""key"":""Method"",""value"":""Authenticator app""}]",b7c1d2e3-1103-4a10-9c03-aa0000000103,a1000003-0000-4003-8003-000000000003,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:04:55Z,2026-06-10T09:04:54Z,Update group,Update group,GroupManagement,Update,success,,Core Directory,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""7c3d4e5f-cccc-4003-8003-000000000403"",""displayName"":""All-Employees"",""type"":""Group"",""modifiedProperties"":[{""displayName"":""Description"",""oldValue"":""[\""All staff\""]"",""newValue"":""[\""All staff and contractors\""]""}]}]","[{""key"":""GroupType"",""value"":""Microsoft 365""}]",b7c1d2e3-1104-4a10-9c04-aa0000000104,a1000004-0000-4004-8004-000000000004,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:18:21Z,2026-06-10T09:18:20Z,Add member to group,Add member to group,GroupManagement,Add,success,,Core Directory,"{""user"":{""id"":""3a6b7c88-6666-4f4f-8a8a-aa0000000206"",""displayName"":""Diego Vora"",""userPrincipalName"":""dvora@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""6d4e5f60-dddd-4004-8004-000000000404"",""displayName"":""SharePoint-Finance-RW"",""type"":""Group"",""modifiedProperties"":[{""displayName"":""Group.Member"",""oldValue"":null,""newValue"":""[\""jamest@contoso.com\""]""}]}]","[{""key"":""GroupType"",""value"":""Security""}]",b7c1d2e3-1105-4a10-9c05-aa0000000105,a1000005-0000-4005-8005-000000000005,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:26:38Z,2026-06-10T09:26:37Z,Add owner to application,Add owner to application,ApplicationManagement,Add,success,,Core Directory,"{""app"":{""displayName"":""Microsoft Entra Provisioning Service"",""appId"":""00000003-0000-0000-c000-000000000000"",""servicePrincipalId"":""f0e0d0c0-9999-4a9a-8b9b-000000000909""}}","[{""id"":""5e5f6071-eeee-4005-8005-000000000405"",""displayName"":""HR-SaaS-Connector"",""type"":""Application"",""modifiedProperties"":[{""displayName"":""Application.Owner"",""oldValue"":null,""newValue"":""[\""svc-provision@contoso.com\""]""}]}]","[{""key"":""ActorContext"",""value"":""ServicePrincipal""}]",b7c1d2e3-1106-4a10-9c06-aa0000000106,a1000006-0000-4006-8006-000000000006,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:38:44Z,2026-06-10T09:38:43Z,Add member to role,Add member to role,RoleManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""type"":""User"",""userPrincipalName"":""alexw@contoso.com"",""modifiedProperties"":[{""displayName"":""Role.DisplayName"",""oldValue"":null,""newValue"":""[\""Privileged Role Administrator\""]""},{""displayName"":""Role.TemplateId"",""oldValue"":null,""newValue"":""[\""e8611ab8-c189-46e8-94e1-60213ab1f814\""]""}]}]","[{""key"":""RoleScope"",""value"":""Directory""}]",11aa22bb-000c-4c4c-8d8d-00000000000c,a1000007-0000-4007-8007-000000000007,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:39:57Z,2026-06-10T09:39:56Z,Add member to role,Add member to role,RoleManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""2a7c8d99-7777-4a5a-8b8b-aa0000000207"",""displayName"":""Backup Service Account"",""type"":""User"",""userPrincipalName"":""svc-backup@contoso.com"",""modifiedProperties"":[{""displayName"":""Role.DisplayName"",""oldValue"":null,""newValue"":""[\""Application Administrator\""]""},{""displayName"":""Role.TemplateId"",""oldValue"":null,""newValue"":""[\""9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3\""]""}]}]","[{""key"":""RoleScope"",""value"":""Directory""}]",11aa22bb-000c-4c4c-8d8d-00000000000d,a1000008-0000-4008-8008-000000000008,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:41:10Z,2026-06-10T09:41:09Z,Add service principal,Add service principal,ApplicationManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""c1c2c3c4-7a7a-4b7b-8c7c-000000000707"",""displayName"":""Contoso Finance Sync"",""type"":""ServicePrincipal"",""modifiedProperties"":[{""displayName"":""AppId"",""oldValue"":null,""newValue"":""[\""7a7b7c7d-8e8f-4a90-b1b2-c3c4c5c6c7c8\""]""},{""displayName"":""ServicePrincipalType"",""oldValue"":null,""newValue"":""[\""Application\""]""}]}]","[{""key"":""ActorContext"",""value"":""User""}]",11aa22bb-000c-4c4c-8d8d-00000000000e,a1000009-0000-4009-8009-000000000009,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:42:33Z,2026-06-10T09:42:32Z,Add app role assignment to service principal,Add app role assignment to service principal,ApplicationManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""c1c2c3c4-7a7a-4b7b-8c7c-000000000707"",""displayName"":""Contoso Finance Sync"",""type"":""ServicePrincipal"",""modifiedProperties"":[{""displayName"":""AppRole.Value"",""oldValue"":null,""newValue"":""[\""Files.Read.All\""]""},{""displayName"":""AppRole.ResourceDisplayName"",""oldValue"":null,""newValue"":""[\""Microsoft Graph\""]""}]}]","[{""key"":""PermissionType"",""value"":""Application""}]",11aa22bb-000c-4c4c-8d8d-00000000000f,a100000a-0000-400a-800a-00000000000a,a1b2c3d4-1111-2222-3333-444455556666
