TimeGenerated,DeviceVendor,DeviceProduct,DeviceVersion,Computer,DeviceEventClassID,Activity,LogSeverity,DeviceAction,SourceIP,SourcePort,DestinationIP,DestinationPort,SourceUserName,DestinationUserName,Protocol,ApplicationProtocol,RequestURL,SentBytes,ReceivedBytes,DeviceInboundInterface,DeviceOutboundInterface
2026-06-10T07:52:11Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,52.170.12.45,51544,20.190.160.20,443,alexw,,TCP,HTTPS,https://login.microsoftonline.com/,18422,90233,ethernet1/2,ethernet1/1
2026-06-10T07:58:44Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,52.170.12.45,51980,20.98.111.30,443,meganb,,TCP,HTTPS,https://outlook.office365.com/mail/,22110,140882,ethernet1/2,ethernet1/1
2026-06-10T08:21:03Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,RDP allowed inbound from external,High,allow,185.220.101.2,49210,10.50.12.7,3389,,alexw,TCP,RDP,,4821,18004,ethernet1/1,ethernet1/2
2026-06-10T08:23:39Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,20.98.111.30,52233,52.96.40.10,443,jamest,,TCP,HTTPS,https://teams.microsoft.com/,30551,210774,ethernet1/2,ethernet1/1
2026-06-10T08:35:22Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,RDP session inbound external,High,allow,185.220.101.2,49255,10.50.12.7,3389,,alexw,TCP,RDP,,221556,884210,ethernet1/1,ethernet1/2
2026-06-10T08:51:48Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,SSH brute force inbound,Medium,deny,185.220.101.2,40122,10.50.20.11,22,,,TCP,SSHv2,,1820,0,ethernet1/1,ethernet1/2
2026-06-10T08:52:01Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,SSH brute force inbound,Medium,deny,185.220.101.2,40189,10.50.20.11,22,,,TCP,SSHv2,,1820,0,ethernet1/1,ethernet1/2
2026-06-10T08:52:33Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,SSH login inbound external,High,allow,185.220.101.2,40233,10.50.20.11,22,,root,TCP,SSHv2,,9044,41220,ethernet1/1,ethernet1/2
2026-06-10T09:02:17Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,52.170.12.45,52701,40.126.32.68,443,priya.menon,,TCP,HTTPS,https://contoso.sharepoint.com/,41233,302118,ethernet1/2,ethernet1/1
2026-06-10T09:15:06Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,C2 callback blocked by URL filtering,High,deny,10.50.12.7,54110,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/api/checkin,612,0,ethernet1/2,ethernet1/1
2026-06-10T09:15:41Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,C2 callback allowed,High,allow,10.50.12.7,54138,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/api/checkin,1840,3022,ethernet1/2,ethernet1/1
2026-06-10T09:21:55Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,C2 beacon allowed,High,allow,10.50.12.7,54190,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/api/task,2204,8810,ethernet1/2,ethernet1/1
2026-06-10T09:33:12Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,20.98.111.30,53322,13.107.42.14,443,dvora,,TCP,HTTPS,https://onedrive.live.com/,28940,176553,ethernet1/2,ethernet1/1
2026-06-10T09:48:27Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,C2 beacon allowed,High,allow,10.50.12.7,54402,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/api/task,2410,9120,ethernet1/2,ethernet1/1
2026-06-10T10:02:50Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,52.170.12.45,54880,20.150.80.4,443,itadmin,,TCP,HTTPS,https://portal.azure.com/,52204,388119,ethernet1/2,ethernet1/1
2026-06-10T10:18:33Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,large outbound transfer to storage,Medium,allow,10.50.12.7,55021,20.150.40.12,443,alexw,,TCP,HTTPS,https://stcontosofin.blob.core.windows.net/finance/gl-export-2026Q2.zip,536889088,142204,ethernet1/2,ethernet1/1
2026-06-10T10:21:09Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,large outbound transfer to storage,Medium,allow,10.50.12.7,55044,20.150.40.12,443,alexw,,TCP,HTTPS,https://stcontosofin.blob.core.windows.net/finance/bank-statements-2026.7z,268980224,98220,ethernet1/2,ethernet1/1
2026-06-10T10:23:41Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,large outbound transfer to storage,Medium,allow,10.50.12.7,55077,20.150.40.12,443,alexw,,TCP,HTTPS,https://stcontosofin.blob.core.windows.net/finance/customer-master.csv,76660736,44120,ethernet1/2,ethernet1/1
2026-06-10T10:24:55Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,exfil to external host allowed,High,allow,10.50.12.7,55120,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/upload,288404480,12044,ethernet1/2,ethernet1/1
2026-06-10T10:33:18Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,20.98.111.30,55402,52.96.40.10,443,jamest,,TCP,HTTPS,https://teams.microsoft.com/,19880,121445,ethernet1/2,ethernet1/1
2026-06-10T10:41:02Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,C2 beacon blocked after IOC update,High,deny,10.50.12.7,55510,91.219.236.18,443,alexw,,TCP,HTTPS,https://badupdate-cdn.com/api/task,640,0,ethernet1/2,ethernet1/1
2026-06-10T10:52:14Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,threat,outbound to secondary C2 blocked,High,deny,10.50.20.11,44021,185.220.101.2,8443,root,,TCP,HTTPS,https://185.220.101.2/relay,712,0,ethernet1/2,ethernet1/1
2026-06-10T11:04:39Z,Palo Alto Networks,PAN-OS,10.2.6,cef-collector-01,traffic,allow business traffic,Low,allow,52.170.12.45,55980,20.190.160.20,443,meganb,,TCP,HTTPS,https://login.microsoftonline.com/,17220,88114,ethernet1/2,ethernet1/1
