TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,SHA256,SHA1,MD5,FileSize,FileOriginUrl,FileOriginIP,PreviousFileName,PreviousFolderPath,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessAccountName,InitiatingProcessFolderPath,ReportId
2026-06-10T08:41:12Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,Q2-Forecast.xlsx,C:\Users\alexw\Documents\Finance\,,,,184320,,,,,EXCEL.EXE,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" /dde",alexw,C:\Program Files\Microsoft Office\root\Office16\,100201
2026-06-10T08:42:03Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,~$Q2-Forecast.xlsx,C:\Users\alexw\Documents\Finance\,,,,165,,,,,EXCEL.EXE,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" /dde",alexw,C:\Program Files\Microsoft Office\root\Office16\,100202
2026-06-10T08:44:51Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileModified,Q2-Forecast.xlsx,C:\Users\alexw\Documents\Finance\,,,,191044,,,,,EXCEL.EXE,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" /dde",alexw,C:\Program Files\Microsoft Office\root\Office16\,100203
2026-06-10T08:47:19Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,FileCreated,Onboarding-Checklist.docx,C:\Users\meganb\Documents\,,,,73216,,,,,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n",meganb,C:\Program Files\Microsoft Office\root\Office16\,100204
2026-06-10T08:49:34Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,invoice_2026Q2.pdf,C:\Users\alexw\AppData\Local\Microsoft\Windows\INetCache\IE\7K2L9ABC\,,,,512880,https://contoso.sharepoint.com/sites/finance/Shared%20Documents/invoice_2026Q2.pdf,52.170.12.45,,,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",alexw,C:\Program Files (x86)\Microsoft\Edge\Application\,100205
2026-06-10T08:52:08Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,SecurityUpdate_KB5039211.exe,C:\Users\alexw\Downloads\,9f2a6c1d4e8b7a30f5c2d9e1b8a4c7f60d3e2a1b9c8d7e6f5a4b3c2d1e0f9a8b,3c1f9b7e5d2a8c4f6b0e9d7a5c3b1f8e6d4a2c0b,7d4e2a1c9f6b3e8d5a0c7f2b4e9d1a6c,734208,http://badupdate-cdn.com/updates/SecurityUpdate_KB5039211.exe,185.220.101.2,,,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",alexw,C:\Program Files (x86)\Microsoft\Edge\Application\,100206
2026-06-10T08:53:41Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,SecurityUpdate_KB5039211.exe,C:\Users\alexw\AppData\Local\Temp\,9f2a6c1d4e8b7a30f5c2d9e1b8a4c7f60d3e2a1b9c8d7e6f5a4b3c2d1e0f9a8b,3c1f9b7e5d2a8c4f6b0e9d7a5c3b1f8e6d4a2c0b,7d4e2a1c9f6b3e8d5a0c7f2b4e9d1a6c,734208,http://badupdate-cdn.com/updates/SecurityUpdate_KB5039211.exe,185.220.101.2,,,explorer.exe,C:\Windows\Explorer.EXE,alexw,C:\Windows\,100207
2026-06-10T08:55:02Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,update.dll,C:\Users\alexw\AppData\Roaming\WinUpdate\,b8e3f1a7d2c5904e6f8b1a3c7d9e2f4b0a6c8d1e3f5b7a9c0d2e4f6b8a1c3d5e,5a9c7e3b1f8d6a4c2e0b9d7f5a3c1e8b6d4f2a0c,8f3b1d7a5c9e2f4b6d8a0c1e3f5b7d9a,287232,,,,,SecurityUpdate_KB5039211.exe,"""C:\Users\alexw\AppData\Local\Temp\SecurityUpdate_KB5039211.exe"" /S",alexw,C:\Users\alexw\AppData\Local\Temp\,100208
2026-06-10T08:56:27Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,run.lnk,C:\Users\alexw\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\,c1d3e5f7a9b2c4d6e8f0a1b3c5d7e9f1a2b4c6d8e0f1a3b5c7d9e1f3a5b7c9d1,7b5d3f1a9c7e5b3d1f9a7c5e3b1d9f7a5c3e1b9d,9a7c5e3b1d9f7a5c3e1b9d7f5a3c1e9b,1842,,,,,SecurityUpdate_KB5039211.exe,"""C:\Users\alexw\AppData\Local\Temp\SecurityUpdate_KB5039211.exe"" /S",alexw,C:\Users\alexw\AppData\Local\Temp\,100209
2026-06-10T08:58:44Z,WEB-APP-01.contoso.com,e7e7e7e7-aaaa-bbbb-cccc-000000000099,FileCreated,nginx-access.log,/var/log/nginx/,,,,40960,,,,,nginx,/usr/sbin/nginx -g daemon on; master_process on;,www-data,/usr/sbin/,100210
