TimeGenerated,DeviceName,DeviceId,ActionType,LogonType,AccountDomain,AccountName,AccountSid,RemoteIP,RemoteIPType,RemoteDeviceName,RemotePort,Protocol,IsLocalAdmin,FailureReason,InitiatingProcessFileName,InitiatingProcessAccountName,ReportId
2026-06-10T07:42:11Z,HR-WS-03,a3a3a3a3-1111-2222-3333-000000000003,LogonSuccess,Interactive,CONTOSO,meganb,S-1-5-21-1111111111-2222222222-3333333333-1107,,,,,,false,,winlogon.exe,SYSTEM,500001
2026-06-10T07:55:48Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,LogonSuccess,Interactive,CONTOSO,alexw,S-1-5-21-1111111111-2222222222-3333333333-1142,,,,,,false,,winlogon.exe,SYSTEM,500002
2026-06-10T08:12:03Z,HR-WS-03,a3a3a3a3-1111-2222-3333-000000000003,LogonSuccess,Unlock,CONTOSO,meganb,S-1-5-21-1111111111-2222222222-3333333333-1107,,,,,,false,,LogonUI.exe,SYSTEM,500003
2026-06-10T08:35:17Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,LogonSuccess,RemoteInteractive,CONTOSO,alexw,S-1-5-21-1111111111-2222222222-3333333333-1142,185.220.101.2,Public,,49217,Negotiate,false,,svchost.exe,SYSTEM,500004
2026-06-10T08:37:52Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,LogonSuccess,Network,CONTOSO,alexw,S-1-5-21-1111111111-2222222222-3333333333-1142,185.220.101.2,Public,,445,NTLM,false,,System,SYSTEM,500005
2026-06-10T08:48:30Z,HR-WS-03,a3a3a3a3-1111-2222-3333-000000000003,LogonSuccess,Network,CONTOSO,meganb,S-1-5-21-1111111111-2222222222-3333333333-1107,10.20.4.51,Private,FILESRV-01,445,NTLM,false,,System,SYSTEM,500006
2026-06-10T08:58:44Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,administrator,S-1-5-21-1111111111-2222222222-3333333333-500,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500007
2026-06-10T08:58:46Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,administrator,S-1-5-21-1111111111-2222222222-3333333333-500,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500008
2026-06-10T08:58:49Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,svc-sql,S-1-5-21-1111111111-2222222222-3333333333-1320,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500009
2026-06-10T08:58:52Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,backupadmin,S-1-5-21-1111111111-2222222222-3333333333-1455,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500010
2026-06-10T08:58:55Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,itadmin,S-1-5-21-1111111111-2222222222-3333333333-1099,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500011
2026-06-10T08:59:01Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonFailed,Network,CONTOSO,administrator,S-1-5-21-1111111111-2222222222-3333333333-500,185.220.101.2,Public,FIN-WS-07,445,NTLM,false,InvalidUserNameOrPassword,System,SYSTEM,500012
2026-06-10T09:00:13Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonSuccess,Network,CONTOSO,itadmin,S-1-5-21-1111111111-2222222222-3333333333-1099,185.220.101.2,Public,FIN-WS-07,445,NTLM,true,,System,SYSTEM,500013
2026-06-10T09:01:27Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonSuccess,RemoteInteractive,CONTOSO,itadmin,S-1-5-21-1111111111-2222222222-3333333333-1099,185.220.101.2,Public,FIN-WS-07,3389,Negotiate,true,,svchost.exe,SYSTEM,500014
2026-06-10T09:05:39Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,LogonSuccess,Interactive,CONTOSO,alexw,S-1-5-21-1111111111-2222222222-3333333333-1142,,,,,,false,,consent.exe,alexw,500015
2026-06-10T09:14:55Z,HR-WS-03,a3a3a3a3-1111-2222-3333-000000000003,LogonSuccess,Interactive,CONTOSO,meganb,S-1-5-21-1111111111-2222222222-3333333333-1107,,,,,,false,,runas.exe,meganb,500016
2026-06-10T09:22:08Z,DC01,c0c0c0c0-dddd-eeee-ffff-000000000001,LogonSuccess,Network,CONTOSO,itadmin,S-1-5-21-1111111111-2222222222-3333333333-1099,185.220.101.2,Public,FIN-WS-07,445,NTLM,true,,System,SYSTEM,500017
