TimeGenerated,EventType,EventId,EventString,Action,ServerName,Zone,ZoneName,Name,NodeName,RDATA,NewValue,TTL,DnsQueryType,ReplicationScope,Forwarders,OldPropertyValues,NewPropertyValues,Source,SourceSystem
2026-06-10T07:38:22Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,prod-app.contoso.com,prod-app,10.20.6.40,10.20.6.40,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T08:05:47Z,ResourceRecordDelete,542,A resource record was deleted from a zone.,Delete,DC01,contoso.com,contoso.com,oldhost.contoso.com,oldhost,10.20.6.99,,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T08:41:55Z,ZoneCreate,513,A new zone was created on the DNS server.,Add,DC01,partners.contoso.com,partners.contoso.com,partners.contoso.com,,,,3600,6,Domain,,,,DC01,OpsManager
2026-06-10T09:12:09Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,reports.contoso.com,reports,10.20.6.55,10.20.6.55,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T09:47:31Z,ServerSettingChange,533,A DNS server forwarder setting was modified.,Update,DC01,.,.,DC01,,,8.8.8.8,3600,0,,8.8.8.8,168.63.129.16,8.8.8.8,DC01,OpsManager
2026-06-10T10:28:14Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,sso.contoso.com,sso,185.220.101.2,185.220.101.2,60,1,Forest,,,,DC01,OpsManager
2026-06-10T10:29:03Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,vpn.contoso.com,vpn,185.220.101.2,185.220.101.2,60,1,Forest,,,,DC01,OpsManager
2026-06-10T10:30:18Z,ResourceRecordSet,544,An existing resource record was modified in a zone.,Update,DC01,contoso.com,contoso.com,autodiscover.contoso.com,autodiscover,185.220.101.2,185.220.101.2,60,5,Forest,,10.20.6.10,185.220.101.2,DC01,OpsManager
2026-06-10T10:31:42Z,ResourceRecordDelete,542,A resource record was deleted from a zone.,Delete,DC01,_msdcs.contoso.com,_msdcs.contoso.com,kv-contoso-prod.contoso.com,kv-contoso-prod,10.20.6.22,,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T10:33:50Z,ServerSettingChange,533,A DNS server forwarder setting was modified.,Update,DC01,.,.,DC01,,,91.219.236.18,3600,0,,91.219.236.18,168.63.129.16,91.219.236.18,DC01,OpsManager
2026-06-10T10:35:27Z,ZoneScopeAdd,553,A new zone scope was added.,Add,DC01,contoso.com,contoso.com,exfil-scope,,,91.219.236.18,3600,0,External,91.219.236.18,,,DC01,OpsManager
2026-06-10T11:02:11Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,c2.contoso.com,c2,91.219.236.18,91.219.236.18,30,1,Forest,,,,DC01,OpsManager
2026-06-10T07:51:40Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,fin.contoso.com,fin.contoso.com,ledger.fin.contoso.com,ledger,10.20.6.61,10.20.6.61,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T08:22:05Z,ResourceRecordSet,544,An existing resource record was modified in a zone.,Update,DC01,contoso.com,contoso.com,printsrv.contoso.com,printsrv,10.20.6.71,10.20.6.71,3600,1,Forest,,10.20.6.70,10.20.6.71,DC01,OpsManager
2026-06-10T08:59:18Z,ZoneDelete,514,A zone was deleted from the DNS server.,Delete,DC01,legacy-test.contoso.com,legacy-test.contoso.com,legacy-test.contoso.com,,,,3600,6,Domain,,,,DC01,OpsManager
2026-06-10T09:33:27Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,wiki.contoso.com,wiki,10.20.6.58,10.20.6.58,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T10:05:49Z,ServerSettingChange,533,A DNS server scavenging setting was modified.,Update,DC01,.,.,DC01,,,7.00:00:00,3600,0,,,0.00:00:00,7.00:00:00,DC01,OpsManager
2026-06-10T11:18:36Z,ResourceRecordCreate,541,A resource record was added to a zone.,Add,DC01,contoso.com,contoso.com,grafana.contoso.com,grafana,10.20.6.63,10.20.6.63,3600,1,Forest,,,,DC01,OpsManager
2026-06-10T12:04:52Z,ZoneCreate,513,A new zone was created on the DNS server.,Add,DC01,lab.contoso.com,lab.contoso.com,lab.contoso.com,,,,3600,6,Domain,,,,DC01,OpsManager
2026-06-10T13:27:10Z,ResourceRecordDelete,542,A resource record was deleted from a zone.,Delete,DC01,contoso.com,contoso.com,decommissioned.contoso.com,decommissioned,10.20.6.88,,3600,1,Forest,,,,DC01,OpsManager
