TimeGenerated,Computer,ClientIP,Name,QueryType,IPAddresses,Result,ResultCode,SubType,EventId,MaliciousIP,IndicatorThreatType,Confidence,Severity
2026-06-10T08:30:11Z,DC01,10.20.7.31,outlook.office365.com,A,52.96.40.34,Success,0,LookupQuery,256,,,,0
2026-06-10T08:42:55Z,DC01,10.20.5.22,www.microsoft.com,A,23.45.112.8,Success,0,LookupQuery,256,,,,0
2026-06-10T08:51:03Z,DC01,10.20.4.51,download.windowsupdate.com,A,104.74.50.120,Success,0,LookupQuery,256,,,,0
2026-06-10T09:02:47Z,DC01,10.20.5.22,login.microsoftonline.com,A,40.126.32.74,Success,0,LookupQuery,256,,,,0
2026-06-10T09:08:19Z,DC01,10.20.4.51,intranet.contoso.com,A,10.20.1.40,Success,0,LookupQuery,256,,,,0
2026-06-10T09:13:02Z,DC01,10.20.7.31,badupdate-cdn.com,A,185.220.101.2,Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:14:01Z,DC01,10.20.7.31,badupdate-cdn.com,A,185.220.101.2,Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:14:33Z,DC01,10.20.7.31,a7f3k9x2qz8w1m.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:15:00Z,DC01,10.20.7.31,badupdate-cdn.com,TXT,"v=0;c2;id=7f3a",Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:15:02Z,DC01,10.20.6.18,teams.microsoft.com,A,52.113.194.132,Success,0,LookupQuery,256,,,,0
2026-06-10T09:15:31Z,DC01,10.20.7.31,zk4m8p1xq9w7v2t6.badupdate-cdn.com,TXT,"aGVsbG8td29ybGQtZW5jb2RlZA",Success,0,LookupQuery,256,,C2,Medium,3
2026-06-10T09:15:49Z,DC01,10.20.7.31,t6v2w9q1p8m4k7x3.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:16:05Z,DC01,10.20.7.31,badupdate-cdn.com,A,185.220.101.2,Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:16:22Z,DC01,10.20.7.31,h8q3w7k2m9x4p1z5.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:16:44Z,DC01,10.20.7.31,q9x2k7m4p1zw8v3a.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:17:10Z,DC01,10.20.5.22,fonts.googleapis.com,A,142.250.180.10,Success,0,LookupQuery,256,,,,0
2026-06-10T09:17:58Z,DC01,10.20.7.31,b3n8w2q9k5x1m7p4.badupdate-cdn.com,TXT,"Y29tbWFuZC1jaGFubmVsLWRhdGE",Success,0,LookupQuery,256,,C2,Medium,3
2026-06-10T09:18:30Z,DC01,10.20.7.31,badupdate-cdn.com,A,185.220.101.2,Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:19:12Z,DC01,10.20.7.31,w7k2m9x4q1z8p3v6.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:19:38Z,DC01,10.20.7.31,n4p9w2k7m1x8q3z5.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:19:55Z,DC01,10.20.4.51,autodiscover.contoso.com,SRV,10.20.1.41,Success,0,LookupQuery,256,,,,0
2026-06-10T09:20:40Z,DC01,10.20.7.31,badupdate-cdn.com,TXT,"v=0;c2;id=7f3a;next=900",Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:21:18Z,DC01,10.20.7.31,m4x9k2w7q1p8z3v5.badupdate-cdn.com,TXT,"ZXhmaWwtY2h1bmstMDAx",Success,0,LookupQuery,256,,C2,Medium,3
2026-06-10T09:22:03Z,DC01,10.20.6.18,www.bing.com,A,204.79.197.200,Success,0,LookupQuery,256,,,,0
2026-06-10T09:22:49Z,DC01,10.20.7.31,k9w4m2x7q8z1p3v6.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:23:08Z,DC01,10.20.7.31,r5m9w2q7k1x8p3z4.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:23:31Z,DC01,10.20.7.31,badupdate-cdn.com,A,185.220.101.2,Success,0,LookupQuery,256,185.220.101.2,C2,High,4
2026-06-10T09:24:15Z,DC01,10.20.5.22,outlook.office365.com,A,52.96.40.34,Success,0,LookupQuery,256,,,,0
2026-06-10T09:25:02Z,DC01,10.20.7.31,p3x8k4m9w2q7z1v5.badupdate-cdn.com,TXT,"cmVzcG9uc2UtcGF5bG9hZA",Success,0,LookupQuery,256,,C2,Medium,3
2026-06-10T09:25:48Z,DC01,10.20.4.51,sharepoint.contoso.com,A,10.20.1.52,Success,0,LookupQuery,256,,,,0
2026-06-10T09:26:33Z,DC01,10.20.7.31,badupdate-cdn.com,A,91.219.236.18,Success,0,LookupQuery,256,91.219.236.18,C2,High,4
2026-06-10T09:27:20Z,DC01,10.20.7.31,x2k9w7m4q1z8p3v6.badupdate-cdn.com,A,,NXDOMAIN,9003,LookupQuery,257,,,,3
2026-06-10T09:28:44Z,DC01,10.20.6.18,clients.google.com,A,142.250.72.142,Success,0,LookupQuery,256,,,,0
2026-06-10T09:30:01Z,DC01,10.20.7.31,badupdate-cdn.com,TXT,"v=0;c2;id=7f3a;sleep=600",Success,0,LookupQuery,256,185.220.101.2,C2,High,4
