TimeGenerated,Source,EventLog,EventID,EventLevel,EventLevelName,EventCategory,RenderedDescription,Computer,UserName,SourceSystem,Type
2026-06-10T09:24:11Z,Microsoft-Windows-GroupPolicy,System,1500,4,Information,0,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.,HR-WS-03,N/A,OpsManager,Event
2026-06-10T09:25:48Z,MsiInstaller,Application,11707,4,Information,0,Product: Contoso Timesheet 4.2 -- Installation completed successfully.,HR-WS-03,CONTOSO\meganb,OpsManager,Event
2026-06-10T09:27:03Z,Service Control Manager,System,7036,4,Information,0,The Windows Update service entered the running state.,HR-WS-03,N/A,OpsManager,Event
2026-06-10T09:28:52Z,.NET Runtime,Application,1026,4,Information,0,Application: ContosoTimesheet.exe finished initializing the common language runtime.,HR-WS-03,CONTOSO\meganb,OpsManager,Event
2026-06-10T09:29:34Z,Microsoft-Windows-Windows Defender,Application,1150,4,Information,0,"Endpoint protection client is up and running in a healthy state. Platform version: 4.18.24050.7, Engine version: 1.1.24050.5, Signature version: 1.413.288.0.",FIN-WS-07,CONTOSO\alexw,OpsManager,Event
2026-06-10T09:30:07Z,Service Control Manager,System,7045,4,Information,0,"A service was installed in the system. Service Name: WinDefenderUpd. Service File Name: C:\Windows\Temp\svc-update.exe -k netsvcs. Service Type: user mode service. Service Start Type: auto start. Service Account: LocalSystem.",DC01,N/A,OpsManager,Event
2026-06-10T09:30:09Z,Service Control Manager,System,7000,2,Error,0,"The WinDefenderUpd service failed to start due to the following error: The system cannot find the path specified.",DC01,N/A,OpsManager,Event
2026-06-10T09:30:41Z,Service Control Manager,System,7045,4,Information,0,"A service was installed in the system. Service Name: NetSvcHost. Service File Name: C:\ProgramData\Microsoft\svchost-helper.exe. Service Type: user mode service. Service Start Type: demand start. Service Account: LocalSystem.",DC01,N/A,OpsManager,Event
2026-06-10T09:31:15Z,Service Control Manager,System,7040,4,Information,0,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.,DC01,N/A,OpsManager,Event
2026-06-10T09:33:22Z,Microsoft-Windows-Windows Defender,Application,1116,3,Warning,0,"Microsoft Defender Antivirus has detected malware or other potentially unwanted software. Name: Trojan:Win32/Wacatac.B!ml. Severity: Severe. Category: Trojan. Path: file:_C:\Users\alexw\AppData\Local\Temp\invoice_apr.scr. Detection Origin: Local machine. Detection Type: Concrete. Process Name: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe.",FIN-WS-07,CONTOSO\alexw,OpsManager,Event
2026-06-10T09:33:25Z,Microsoft-Windows-Windows Defender,Application,1117,3,Warning,0,"Microsoft Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software. Name: Trojan:Win32/Wacatac.B!ml. Action: Quarantine. Status: 0x00000000. Path: file:_C:\Users\alexw\AppData\Local\Temp\invoice_apr.scr.",FIN-WS-07,CONTOSO\alexw,OpsManager,Event
2026-06-10T09:34:02Z,Microsoft-Windows-Windows Defender,Application,1116,3,Warning,0,"Microsoft Defender Antivirus has detected malware or other potentially unwanted software. Name: Behavior:Win32/CobaltStrike.A. Severity: Severe. Category: Behavior. Path: process:_pid:6128. Detection Origin: Local machine. Detection Type: Generic. Process Name: C:\Windows\Temp\svc-update.exe.",FIN-WS-07,CONTOSO\alexw,OpsManager,Event
2026-06-10T09:34:50Z,Microsoft-Windows-Windows Defender,Application,5007,4,Information,0,"Microsoft Defender Antivirus Configuration has changed. Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\DisableAntiSpyware = 0x0. New value: HKLM\SOFTWARE\Microsoft\Windows Defender\DisableAntiSpyware = 0x1.",FIN-WS-07,N/A,OpsManager,Event
2026-06-10T09:36:18Z,Service Control Manager,System,7034,2,Error,0,The Microsoft Defender Antivirus Service service terminated unexpectedly. It has done this 1 time(s).,FIN-WS-07,N/A,OpsManager,Event
2026-06-10T09:36:19Z,Application Error,Application,1000,2,Error,0,"Faulting application name: MsMpEng.exe, version: 4.18.24050.7, faulting module name: ntdll.dll, version: 10.0.19041.4291, exception code: 0xc0000005, faulting process id: 0x4a8.",FIN-WS-07,N/A,OpsManager,Event
2026-06-10T09:37:44Z,Service Control Manager,System,7031,2,Error,0,The Windows Event Log service terminated unexpectedly. It has done this 1 time(s). The following corrective action will be taken in 60000 milliseconds: Restart the service.,FIN-WS-07,N/A,OpsManager,Event
2026-06-10T09:38:50Z,Microsoft-Windows-Eventlog,System,6005,4,Information,0,The Event log service was started.,FIN-WS-07,N/A,OpsManager,Event
2026-06-10T09:40:13Z,Service Control Manager,System,7036,4,Information,0,The Remote Desktop Services service entered the running state.,DC01,N/A,OpsManager,Event
2026-06-10T09:41:55Z,Microsoft-Windows-GroupPolicy,System,1502,4,Information,0,The Group Policy settings for the computer were processed successfully. New settings from 2 Group Policy objects were detected and applied.,DC01,N/A,OpsManager,Event
2026-06-10T09:43:27Z,MsiInstaller,Application,1033,4,Information,0,"Windows Installer installed the product. Product Name: Microsoft Monitoring Agent. Installation success or error status: 0.",HR-WS-03,CONTOSO\meganb,OpsManager,Event
2026-06-10T09:45:09Z,Service Control Manager,System,7045,4,Information,0,"A service was installed in the system. Service Name: HealthService. Service File Name: C:\Program Files\Microsoft Monitoring Agent\Agent\HealthService.exe. Service Type: user mode service. Service Start Type: auto start. Service Account: LocalSystem.",HR-WS-03,N/A,OpsManager,Event
2026-06-10T09:47:41Z,ESENT,Application,326,4,Information,0,svchost (1284) Instance: The database engine attached a database. (Time=0 seconds).,HR-WS-03,N/A,OpsManager,Event
2026-06-10T09:51:18Z,Microsoft-Windows-Windows Defender,Application,1001,4,Information,0,Microsoft Defender Antivirus scan has finished. Scan Type: Antimalware. Scan Parameters: Quick Scan. Scan ID: {B3A4C2E1-77F0-4D2B-9A11-22EE33445566}. Resources scanned: 41255. Threats detected: 0.,jamest-laptop,CONTOSO\jamest,OpsManager,Event
2026-06-10T09:54:33Z,Service Control Manager,System,7036,4,Information,0,The Print Spooler service entered the running state.,HR-WS-03,N/A,OpsManager,Event
