TimeGenerated,Computer,RecordType,SerialNumber,syscall,exe,comm,exit,res,success,auid,uid,euid,acct,user,addr,terminal,tty,ses,pid,ppid,cwd,key
2026-06-10T08:48:02Z,WEB-APP-01,USER_AUTH,184500011,,/usr/sbin/sshd,,,failed,no,4294967295,0,0,root,,185.220.101.2,ssh,,4,2041,1,,sshd-auth
2026-06-10T08:48:09Z,WEB-APP-01,USER_AUTH,184500012,,/usr/sbin/sshd,,,failed,no,4294967295,0,0,admin,,185.220.101.2,ssh,,4,2044,1,,sshd-auth
2026-06-10T08:48:17Z,WEB-APP-01,USER_AUTH,184500013,,/usr/sbin/sshd,,,failed,no,4294967295,0,0,deploy,,185.220.101.2,ssh,,4,2047,1,,sshd-auth
2026-06-10T08:48:26Z,WEB-APP-01,USER_AUTH,184500014,,/usr/sbin/sshd,,,failed,no,4294967295,0,0,webapp,,185.220.101.2,ssh,,4,2050,1,,sshd-auth
2026-06-10T08:48:38Z,WEB-APP-01,USER_AUTH,184500015,,/usr/sbin/sshd,,,failed,no,4294967295,0,0,webapp,,185.220.101.2,ssh,,4,2053,1,,sshd-auth
2026-06-10T08:49:55Z,WEB-APP-01,USER_AUTH,184500021,,/usr/sbin/sshd,,,success,yes,1004,0,0,webapp,,185.220.101.2,ssh,,7,2071,1,,sshd-auth
2026-06-10T08:50:01Z,WEB-APP-01,USER_LOGIN,184500022,,/usr/sbin/sshd,,,success,yes,1004,0,0,webapp,,185.220.101.2,ssh,,7,2071,1,,
2026-06-10T08:52:14Z,WEB-APP-01,SYSCALL,184500031,execve,/usr/bin/bash,bash,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2079,2071,/home/webapp,
2026-06-10T09:02:41Z,WEB-APP-01,SYSCALL,184500044,execve,/usr/bin/python3,python3,0,success,yes,1002,1002,1002,,,,pts/0,pts/0,5,2102,1990,/var/www/app,
2026-06-10T09:03:08Z,WEB-APP-01,SYSCALL,184500051,execve,/usr/bin/whoami,whoami,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2110,2079,/home/webapp,recon-exec
2026-06-10T09:03:08Z,WEB-APP-01,EXECVE,184500051,,,whoami,,,,1004,1004,1004,,,,pts/1,pts/1,7,2110,2079,/home/webapp,recon-exec
2026-06-10T09:03:22Z,WEB-APP-01,SYSCALL,184500052,execve,/usr/bin/id,id,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2111,2079,/home/webapp,recon-exec
2026-06-10T09:03:49Z,WEB-APP-01,SYSCALL,184500053,execve,/usr/bin/uname,uname,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2112,2079,/home/webapp,recon-exec
2026-06-10T09:05:33Z,WEB-APP-01,SYSCALL,184500061,execve,/usr/bin/cat,cat,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2120,2079,/home/webapp,cred-access
2026-06-10T09:05:33Z,WEB-APP-01,EXECVE,184500061,,,cat,,,,1004,1004,1004,,,,pts/1,pts/1,7,2120,2079,/home/webapp,cred-access
2026-06-10T09:05:33Z,WEB-APP-01,PATH,184500061,,,,,,,1004,1004,1004,,,,pts/1,pts/1,7,2120,2079,/home/webapp,cred-access
2026-06-10T09:06:10Z,WEB-APP-01,SYSCALL,184500062,execve,/usr/bin/cat,cat,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2123,2079,/home/webapp,cred-access
2026-06-10T09:06:10Z,WEB-APP-01,PATH,184500062,,,,,,,1004,1004,1004,,,,pts/1,pts/1,7,2123,2079,/home/webapp,cred-access
2026-06-10T09:08:55Z,WEB-APP-01,SYSCALL,184500071,execve,/usr/bin/wget,wget,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2131,2079,/tmp,download-exec
2026-06-10T09:08:55Z,WEB-APP-01,EXECVE,184500071,,,wget,,,,1004,1004,1004,,,,pts/1,pts/1,7,2131,2079,/tmp,download-exec
2026-06-10T09:09:40Z,WEB-APP-01,SYSCALL,184500072,execve,/usr/bin/chmod,chmod,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2138,2079,/tmp,exec-prep
2026-06-10T09:09:40Z,WEB-APP-01,EXECVE,184500072,,,chmod,,,,1004,1004,1004,,,,pts/1,pts/1,7,2138,2079,/tmp,exec-prep
2026-06-10T09:09:40Z,WEB-APP-01,PATH,184500072,,,,,,,1004,1004,1004,,,,pts/1,pts/1,7,2138,2079,/tmp,exec-prep
2026-06-10T09:11:18Z,WEB-APP-01,SYSCALL,184500081,execve,/tmp/payload,payload,0,success,yes,1004,1004,1004,,,,pts/1,pts/1,7,2145,2079,/tmp,malware-exec
2026-06-10T09:11:18Z,WEB-APP-01,EXECVE,184500081,,,payload,,,,1004,1004,1004,,,,pts/1,pts/1,7,2145,2079,/tmp,malware-exec
2026-06-10T09:13:05Z,WEB-APP-01,SYSCALL,184500091,connect,/tmp/payload,payload,0,success,yes,1004,1004,1004,,,91.219.236.18,pts/1,pts/1,7,2145,2079,/tmp,c2-connect
2026-06-10T09:18:44Z,WEB-APP-01,USER_CMD,184500101,,/usr/bin/sudo,,,success,yes,1004,1004,0,webapp,,,pts/1,pts/1,7,2151,2079,/tmp,sudo-cmd
2026-06-10T09:18:44Z,WEB-APP-01,USER_ACCT,184500102,,/usr/bin/sudo,,,success,yes,1004,1004,0,webapp,,,pts/1,pts/1,7,2151,2079,/tmp,sudo-cmd
2026-06-10T09:18:45Z,WEB-APP-01,CRED_REFR,184500103,,/usr/bin/sudo,,,success,yes,1004,1004,0,webapp,,,pts/1,pts/1,7,2151,2079,/tmp,sudo-cmd
2026-06-10T09:19:02Z,WEB-APP-01,SYSCALL,184500104,execve,/usr/bin/cat,cat,0,success,yes,1004,0,0,,,,pts/1,pts/1,7,2152,2151,/root,cred-access
2026-06-10T09:19:02Z,WEB-APP-01,PATH,184500104,,,,,,,1004,0,0,,,,pts/1,pts/1,7,2152,2151,/root,cred-access
2026-06-10T09:22:31Z,WEB-APP-01,SYSCALL,184500111,execve,/usr/bin/crontab,crontab,0,success,yes,1004,0,0,,,,pts/1,pts/1,7,2160,2151,/root,persistence
2026-06-10T09:22:31Z,WEB-APP-01,EXECVE,184500111,,,crontab,,,,1004,0,0,,,,pts/1,pts/1,7,2160,2151,/root,persistence
2026-06-10T09:23:50Z,WEB-APP-01,CONFIG_CHANGE,184500121,,,,,success,yes,1004,0,0,,,,pts/1,pts/1,7,2163,2151,/root,audit-tamper
2026-06-10T09:24:12Z,WEB-APP-01,SERVICE_STOP,184500131,,/usr/bin/systemctl,systemctl,0,success,yes,1004,0,0,,,,pts/1,pts/1,7,2168,2151,/root,defense-evasion
2026-06-10T09:26:39Z,WEB-APP-01,SYSCALL,184500141,unlink,/usr/bin/rm,rm,0,success,yes,1004,0,0,,,,pts/1,pts/1,7,2172,2151,/var/log,defense-evasion
2026-06-10T09:26:39Z,WEB-APP-01,PATH,184500141,,,,,,,1004,0,0,,,,pts/1,pts/1,7,2172,2151,/var/log,defense-evasion
2026-06-10T08:30:05Z,WEB-APP-01,SYSCALL,184500005,execve,/usr/sbin/cron,cron,0,success,yes,4294967295,0,0,,,,,,4294967295,901,1,/,
2026-06-10T08:31:12Z,WEB-APP-01,CRED_ACQ,184500006,,/usr/sbin/cron,,,success,yes,0,0,0,root,,,cron,,9,905,901,/,
2026-06-10T09:00:18Z,WEB-APP-01,SYSCALL,184500041,execve,/usr/bin/apt-get,apt-get,0,success,yes,1002,1002,0,,,,pts/0,pts/0,5,2095,1990,/var/www/app,pkg-mgmt
2026-06-10T09:15:27Z,WEB-APP-01,USER_AUTH,184500095,,/usr/sbin/sshd,,,success,yes,1003,0,0,dvora,,52.170.12.45,ssh,,11,2148,1,,sshd-auth
