TimeGenerated,Computer,HostName,HostIP,Facility,SeverityLevel,ProcessName,ProcessID,SyslogMessage,EventTime,SourceSystem
2026-06-10T08:49:58Z,WEB-APP-01,WEB-APP-01,10.10.20.41,cron,info,CRON,2811,"(root) CMD (   cd / && run-parts --report /etc/cron.hourly)",2026-06-10T08:49:58Z,Linux
2026-06-10T08:50:12Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3201,"Failed password for invalid user admin from 185.220.101.2 port 49102 ssh2",2026-06-10T08:50:12Z,Linux
2026-06-10T08:50:14Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3201,"Invalid user admin from 185.220.101.2 port 49102",2026-06-10T08:50:14Z,Linux
2026-06-10T08:50:21Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3204,"Failed password for invalid user oracle from 185.220.101.2 port 49110 ssh2",2026-06-10T08:50:21Z,Linux
2026-06-10T08:50:29Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3207,"Failed password for invalid user postgres from 185.220.101.2 port 49118 ssh2",2026-06-10T08:50:29Z,Linux
2026-06-10T08:50:37Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3210,"Failed password for invalid user deploy from 185.220.101.2 port 49126 ssh2",2026-06-10T08:50:37Z,Linux
2026-06-10T08:50:45Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3214,"Failed password for root from 185.220.101.2 port 49135 ssh2",2026-06-10T08:50:45Z,Linux
2026-06-10T08:50:53Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3214,"Failed password for root from 185.220.101.2 port 49135 ssh2",2026-06-10T08:50:53Z,Linux
2026-06-10T08:51:01Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3219,"Failed password for invalid user git from 185.220.101.2 port 49150 ssh2",2026-06-10T08:51:01Z,Linux
2026-06-10T08:51:09Z,WEB-APP-01,WEB-APP-01,10.10.20.41,authpriv,info,sshd,3222,"Failed password for webadmin from 185.220.101.2 port 49158 ssh2",2026-06-10T08:51:09Z,Linux
